Title,Year,Running time,Country,Language,Release date,Box office,Genre,Imdb Rating
"Follow Me, Boys!",1966,131,USA,English,1966/12/1,16207116,Drama,7.2
"Monkeys, Go Home!",1967,101,USA,English,1967/2/8,3000000,Comedy,5.8
The Adventures of Bullwhip Griffin,1967,108,USA,English,1967/6/15,1900000,Action,6.5
The GnomeMobile,1967,84,USA,English,1967/7/12,4000000,Fantasy,6.5
The Happiest Millionaire,1967,164,USA,English,1967/6/23,5000000,Musical,6.8
Blackbeard's Ghost,1968,106,USA,English,1968/2/8,21540050,Comedy,6.9
Family,1968,110,USA,English,1968/3/21,2250000,Comedy,6.5
Never a Dull Moment,1968,99,USA,English,1968/6/26,4150000,Comedy,6.2
The Horse in the Gray Flannel Suit,1968,113,USA,English,1968/12/3,3300000,Comedy,6.4
The Love Bug,1968,108,USA,English,1968/12/24,51300000,Comedy,6.5
Smith!,1969,112,USA,English,1969/5/9,1300000,Western,5.8
The Computer Wore Tennis Shoes,1969,91,USA,English,1969/11/28,5500000,Comedy,6
The Boatniks,1970,100,USA,English,1970/7/1,18607492,Comedy,5.5
The Wild Country,1970,100,USA,English,1970/12/15,4000000,Action,6.3
The Aristocats,1970,79,USA,English,1970/12/11,191000000,Comedy,7.1
The Million Dollar Duck,1971,89,USA,English,1971/6/30,5100000,Comedy,5.8
Bedknobs and Broomsticks,1971,118,USA,English,1971/10/7,17900000,Comedy,7.1
"Now You See Him, Now You Don't",1972,88,USA,English,1972/7/12,4610000,Comedy,6.3
Snowball Express,1972,93,USA,English,1972/12/22,6100000,Comedy,6.5
The World's Greatest Athlete,1973,93,USA,English,1973/2/1,22583370,Comedy,5.8
One Little Indian,1973,90,USA,English,1973/6/20,2000000,Western,6.2
Robin Hood,1973,83,USA,English,1973/11/8,32000000,Action,6.6
Superdad,1973,96,USA,English,1973/12/14,7000000,Comedy,5.3
The Bears and I,1974,89,USA,English,1974/7/31,4000000,Drama,6.2
The Island at the Top of the World,1974,93,USA,English,1974/12/20,10000000,Fantasy,6.3
The Strongest Man in the World,1975,92,USA,English,1975/2/6,6600000,Comedy,6
Escape to Witch Mountain,1975,97,USA,English,1975/3/21,20000000,Fantasy,6.4
The Apple Dumpling Gang,1975,100,USA,English,1975/7/1,36853000,Western,6.4
One of Our Dinosaurs is Missing,1975,100,USA,English,1975/7/9,5500000,Comedy,6
Gus,1976,95,USA,English,1976/7/7,21873000,Comedy,5.9
